time,OMEGA_UT1416
2022-07-20 00:00:00,-0.022599989851624064
2022-07-20 01:00:00,-0.022599989851624064
2022-07-20 02:00:00,-0.022599989851624064
2022-07-20 03:00:00,-0.027534616550323614
2022-07-20 04:00:00,-0.027534616550323614
2022-07-20 05:00:00,-0.027534616550323614
2022-07-20 06:00:00,-0.045329076235865996
2022-07-20 07:00:00,-0.045329076235865996
2022-07-20 08:00:00,-0.045329076235865996
2022-07-20 09:00:00,-0.04359986588501938
2022-07-20 10:00:00,-0.04359986588501938
2022-07-20 11:00:00,-0.04359986588501938
2022-07-20 12:00:00,-0.03767643381294676
2022-07-20 13:00:00,-0.03767643381294676
2022-07-20 14:00:00,-0.03767643381294676
2022-07-20 15:00:00,-0.02550184085014299
2022-07-20 16:00:00,-0.02550184085014299
2022-07-20 17:00:00,-0.02550184085014299
2022-07-20 18:00:00,-0.005329928119861489
2022-07-20 19:00:00,-0.005329928119861489
2022-07-20 20:00:00,-0.005329928119861489
2022-07-20 21:00:00,0.010201990854983188
2022-07-20 22:00:00,0.010201990854983188
2022-07-20 23:00:00,0.010201990854983188
2022-07-21 00:00:00,-0.0013181245291267571
2022-07-21 01:00:00,-0.0013181245291267571
2022-07-21 02:00:00,-0.0013181245291267571
2022-07-21 03:00:00,-0.00946215768418204
2022-07-21 04:00:00,-0.00946215768418204
2022-07-21 05:00:00,-0.00946215768418204
2022-07-21 06:00:00,-0.003296721787988001
2022-07-21 07:00:00,-0.003296721787988001
2022-07-21 08:00:00,-0.003296721787988001
2022-07-21 09:00:00,0.02583025011141374
2022-07-21 10:00:00,0.02583025011141374
2022-07-21 11:00:00,0.02583025011141374
2022-07-21 12:00:00,0.03753271487031338
2022-07-21 13:00:00,0.03753271487031338
2022-07-21 14:00:00,0.03753271487031338
2022-07-21 15:00:00,0.046464058712029396
2022-07-21 16:00:00,0.046464058712029396
2022-07-21 17:00:00,0.046464058712029396
2022-07-21 18:00:00,0.0480466510965979
2022-07-21 19:00:00,0.0480466510965979
2022-07-21 20:00:00,0.0480466510965979
2022-07-21 21:00:00,0.04055654298102088
2022-07-21 22:00:00,0.04055654298102088
2022-07-21 23:00:00,0.04055654298102088
2022-07-22 00:00:00,0.023676448069093532
2022-07-22 01:00:00,0.023676448069093532
2022-07-22 02:00:00,0.023676448069093532
2022-07-22 03:00:00,0.01148596842664364
2022-07-22 04:00:00,0.01148596842664364
2022-07-22 05:00:00,0.01148596842664364
2022-07-22 06:00:00,0.005357817636759491
2022-07-22 07:00:00,0.005357817636759491
2022-07-22 08:00:00,0.005357817636759491
2022-07-22 09:00:00,-0.01313363496238542
2022-07-22 10:00:00,-0.01313363496238542
2022-07-22 11:00:00,-0.01313363496238542
2022-07-22 12:00:00,-0.02566544771682485
2022-07-22 13:00:00,-0.02566544771682485
2022-07-22 14:00:00,-0.02566544771682485
2022-07-22 15:00:00,-0.030771977626897408
2022-07-22 16:00:00,-0.030771977626897408
2022-07-22 17:00:00,-0.030771977626897408
2022-07-22 18:00:00,-0.02413398447233068
2022-07-22 19:00:00,-0.02413398447233068
2022-07-22 20:00:00,-0.02413398447233068
2022-07-22 21:00:00,-0.028342788181760566
2022-07-22 22:00:00,-0.028342788181760566
2022-07-22 23:00:00,-0.028342788181760566
2022-07-23 00:00:00,-0.00928203806554078
2022-07-23 01:00:00,-0.00928203806554078
2022-07-23 02:00:00,-0.00928203806554078
2022-07-23 03:00:00,-0.005365015338542612
2022-07-23 04:00:00,-0.005365015338542612
2022-07-23 05:00:00,-0.005365015338542612
2022-07-23 06:00:00,-0.010712998317929009
2022-07-23 07:00:00,-0.010712998317929009
2022-07-23 08:00:00,-0.010712998317929009
2022-07-23 09:00:00,-0.008647595866006672
2022-07-23 10:00:00,-0.008647595866006672
2022-07-23 11:00:00,-0.008647595866006672
2022-07-23 12:00:00,0.0016176477504387572
2022-07-23 13:00:00,0.0016176477504387572
2022-07-23 14:00:00,0.0016176477504387572
2022-07-23 15:00:00,0.005658867672305163
2022-07-23 16:00:00,0.005658867672305163
2022-07-23 17:00:00,0.005658867672305163
2022-07-23 18:00:00,0.016507592639604475
2022-07-23 19:00:00,0.016507592639604475
2022-07-23 20:00:00,0.016507592639604475
2022-07-23 21:00:00,0.01811893806178332
2022-07-23 22:00:00,0.01811893806178332
2022-07-23 23:00:00,0.01811893806178332
2022-07-24 00:00:00,0.009214389417037602
2022-07-24 01:00:00,0.009214389417037602
2022-07-24 02:00:00,0.009214389417037602
2022-07-24 03:00:00,0.01912722101505434
2022-07-24 04:00:00,0.01912722101505434
2022-07-24 05:00:00,0.01912722101505434
2022-07-24 06:00:00,0.029779183784323354
2022-07-24 07:00:00,0.029779183784323354
2022-07-24 08:00:00,0.029779183784323354
2022-07-24 09:00:00,0.027673458353463812
2022-07-24 10:00:00,0.027673458353463812
2022-07-24 11:00:00,0.027673458353463812
2022-07-24 12:00:00,0.022242115451384083
2022-07-24 13:00:00,0.022242115451384083
2022-07-24 14:00:00,0.022242115451384083
2022-07-24 15:00:00,0.008575231781587372
2022-07-24 16:00:00,0.008575231781587372
2022-07-24 17:00:00,0.008575231781587372
2022-07-24 18:00:00,0.009462202988243991
